Employee_ID,Gender,Age,Department,Job_Level,Years_At_Company,Monthly_Salary_INR,Avg_Weekly_Hours,Performance_Rating,Promotion_Last_2_Years,Training_Hours_Last_Year,Attrition
EMP10000,Male,35,Tax,Analyst,0.8,166294,68,2,No,30,Yes
EMP10001,Female,32,Tax,Senior Analyst,11.6,89068,45,3,No,76,No
EMP10002,Male,36,Audit,Analyst,1.5,41116,65,4,No,46,Yes
EMP10003,Male,44,Technology,Senior Analyst,0.9,76369,45,2,No,26,Yes
EMP10004,Male,39,Consulting,Analyst,1.6,128100,55,2,No,50,Yes
EMP10005,Female,28,Advisory,Analyst,0.3,54655,64,1,Yes,19,Yes
EMP10006,Male,41,Tax,Analyst,0.4,72632,44,3,No,12,Yes
EMP10007,Male,37,Advisory,Analyst,1.6,170265,60,4,Yes,62,Yes
EMP10008,Male,43,Audit,Senior Analyst,4.3,43895,61,4,Yes,43,Yes
EMP10009,Female,25,Advisory,Manager,6.9,177281,42,5,No,23,No
EMP10010,Male,42,Consulting,Manager,3.3,48086,42,2,Yes,2,Yes
EMP10011,Male,36,Technology,Manager,0.3,110637,42,5,No,9,Yes
EMP10012,Male,26,Consulting,Analyst,3.3,132334,68,4,No,64,Yes
EMP10013,Male,28,Consulting,Analyst,3.0,176969,50,3,No,48,No
EMP10014,Female,38,Tax,Analyst,4.9,88083,47,5,Yes,57,No
EMP10015,Male,32,Consulting,Analyst,5.2,120028,57,3,Yes,76,Yes
EMP10016,Female,35,Advisory,Senior Analyst,6.1,91957,46,4,No,77,No
EMP10017,Female,29,Advisory,Analyst,1.6,122551,61,4,No,1,Yes
EMP10018,Female,33,Technology,Analyst,3.6,103506,56,4,Yes,65,Yes
EMP10019,Male,35,Advisory,Manager,0.9,163355,66,3,Yes,30,Yes
EMP10020,Female,30,Consulting,Senior Analyst,22.0,119024,61,2,No,67,Yes
EMP10021,Male,36,Audit,Analyst,0.6,106481,36,3,Yes,36,No
EMP10022,Female,27,Audit,Analyst,0.0,25255,67,3,No,72,Yes
EMP10023,Female,37,Audit,Analyst,0.5,40487,60,4,No,23,Yes
EMP10024,Female,43,Audit,Manager,4.5,44346,62,4,No,76,Yes
EMP10025,Female,41,Advisory,Analyst,1.8,60050,53,5,No,43,No
EMP10026,Female,42,Tax,Analyst,1.8,33744,39,1,Yes,40,Yes
EMP10027,Female,27,Consulting,Analyst,9.3,86596,67,4,No,73,Yes
EMP10028,Female,34,Tax,Senior Analyst,7.6,144640,54,5,No,50,No
EMP10029,Female,35,Technology,Analyst,1.1,80032,64,4,No,41,Yes
EMP10030,Male,41,Tax,Manager,0.7,67687,42,2,No,77,Yes
EMP10031,Male,27,Advisory,Manager,5.7,178048,51,2,No,39,Yes
EMP10032,Female,29,Consulting,Manager,7.1,87863,35,1,Yes,47,Yes
EMP10033,Female,39,Consulting,Analyst,2.3,156663,37,4,No,3,No
EMP10034,Female,36,Audit,Manager,3.0,31277,60,4,No,59,Yes
EMP10035,Male,28,Consulting,Senior Analyst,0.9,86860,65,5,No,38,Yes
EMP10036,Female,38,Technology,Analyst,4.8,158332,42,3,No,4,No
EMP10037,Male,43,Tax,Senior Analyst,3.0,49741,42,3,No,5,Yes
EMP10038,Male,38,Audit,Analyst,2.1,144720,69,4,No,13,Yes
EMP10039,Male,40,Consulting,Analyst,0.2,62211,62,4,No,69,Yes
EMP10040,Male,27,Tax,Senior Analyst,7.4,31869,38,5,Yes,77,Yes
EMP10041,Male,23,Audit,Analyst,2.9,112616,50,4,No,11,Yes
EMP10042,Female,38,Consulting,Senior Analyst,0.6,119515,47,3,No,61,Yes
EMP10043,Female,30,Technology,Analyst,2.8,175494,54,4,No,26,No
EMP10044,Female,27,Consulting,Manager,3.4,85110,39,4,No,53,Yes
EMP10045,Female,37,Audit,Senior Manager,2.2,59033,54,3,No,11,No
EMP10046,Female,34,Consulting,Manager,3.8,70213,58,3,No,7,Yes
EMP10047,Male,44,Technology,Analyst,2.6,37938,68,2,No,73,Yes
EMP10048,Female,23,Advisory,Analyst,8.9,155842,68,1,Yes,15,Yes
EMP10049,Female,32,Audit,Senior Analyst,0.2,27274,53,4,Yes,51,Yes
EMP10050,Male,33,Consulting,Analyst,0.3,109390,51,2,No,25,Yes
EMP10051,Female,22,Consulting,Analyst,0.6,175033,39,3,No,7,Yes
EMP10052,Male,23,Advisory,Senior Analyst,3.5,45044,59,3,Yes,44,No
EMP10053,Female,25,Tax,Senior Analyst,3.1,124372,52,3,Yes,18,No
EMP10054,Male,31,Audit,Senior Manager,6.7,178047,42,3,No,16,No
EMP10055,Female,28,Technology,Analyst,4.0,39706,61,4,No,64,Yes
EMP10056,Female,43,Audit,Analyst,2.1,162046,49,2,No,28,Yes
EMP10057,Male,43,Consulting,Analyst,14.4,101464,47,2,Yes,13,Yes
EMP10058,Male,32,Audit,Manager,0.9,46213,50,3,No,16,Yes
EMP10059,Male,27,Consulting,Manager,5.4,26950,56,3,No,12,Yes
EMP10060,Male,35,Consulting,Manager,1.7,35411,54,3,No,62,Yes
EMP10061,Male,44,Consulting,Manager,3.1,153603,47,2,No,32,No
EMP10062,Male,37,Audit,Senior Analyst,3.9,87744,54,4,Yes,28,No
EMP10063,Male,24,Advisory,Senior Analyst,3.0,173843,36,4,No,36,Yes
EMP10064,Male,42,Audit,Analyst,0.5,60053,69,2,Yes,45,Yes
EMP10065,Female,33,Tax,Senior Analyst,1.8,163117,53,2,Yes,23,Yes
EMP10066,Female,38,Technology,Senior Analyst,2.5,82623,40,5,No,13,No
EMP10067,Male,21,Consulting,Senior Analyst,5.7,54714,48,4,No,4,Yes
EMP10068,Female,36,Consulting,Manager,1.8,134283,38,3,No,52,Yes
EMP10069,Female,33,Consulting,Senior Manager,7.5,33562,56,4,No,29,Yes
EMP10070,Female,30,Audit,Manager,1.7,80048,68,4,No,59,Yes
EMP10071,Female,32,Consulting,Manager,2.4,118295,61,4,No,72,Yes
EMP10072,Male,22,Tax,Senior Analyst,4.8,37026,41,3,Yes,27,Yes
EMP10073,Female,43,Advisory,Analyst,2.6,131147,37,3,No,25,No
EMP10074,Male,23,Audit,Analyst,9.7,56589,67,1,Yes,17,Yes
EMP10075,Female,30,Tax,Senior Analyst,3.2,133199,36,5,No,35,Yes
EMP10076,Female,22,Consulting,Senior Analyst,2.2,122274,50,4,Yes,7,Yes
EMP10077,Female,43,Tax,Analyst,0.1,51844,59,3,No,17,Yes
EMP10078,Male,33,Advisory,Manager,1.6,179519,49,5,No,57,No
EMP10079,Female,33,Advisory,Analyst,1.1,115415,58,5,No,31,Yes
EMP10080,Male,38,Audit,Analyst,4.1,79708,49,5,No,48,Yes
EMP10081,Female,23,Audit,Senior Analyst,0.7,95825,65,4,No,47,Yes
EMP10082,Male,27,Technology,Analyst,0.7,76574,48,5,No,70,Yes
EMP10083,Female,34,Audit,Analyst,0.6,110548,48,3,No,64,Yes
EMP10084,Male,40,Technology,Analyst,0.4,174884,40,4,No,32,Yes
EMP10085,Male,37,Consulting,Manager,1.1,89230,48,4,Yes,49,Yes
EMP10086,Female,41,Audit,Analyst,6.5,65581,51,3,Yes,3,No
EMP10087,Male,32,Audit,Senior Analyst,4.5,50105,52,2,Yes,35,Yes
EMP10088,Female,36,Audit,Senior Analyst,4.0,104830,54,5,Yes,27,Yes
EMP10089,Female,44,Technology,Analyst,4.8,94157,51,3,No,2,No
EMP10090,Female,32,Consulting,Senior Manager,0.9,112235,50,4,Yes,5,Yes
EMP10091,Female,35,Consulting,Analyst,6.6,27347,66,1,Yes,44,Yes
EMP10092,Female,30,Consulting,Senior Manager,0.4,72650,43,1,Yes,22,Yes
EMP10093,Female,27,Audit,Senior Analyst,1.2,173182,61,3,No,6,Yes
EMP10094,Female,40,Consulting,Senior Manager,2.7,160995,67,3,No,60,Yes
EMP10095,Female,25,Audit,Analyst,0.3,149926,44,4,No,64,Yes
EMP10096,Female,21,Tax,Senior Analyst,3.9,106147,51,3,No,5,Yes
EMP10097,Female,37,Consulting,Analyst,1.5,73135,51,2,Yes,23,Yes
EMP10098,Female,23,Consulting,Analyst,4.6,44199,52,2,No,36,No
EMP10099,Male,33,Consulting,Senior Analyst,2.0,165138,57,3,No,44,No
EMP10100,Male,34,Consulting,Analyst,0.6,126583,68,2,Yes,50,Yes
EMP10101,Female,44,Technology,Senior Analyst,4.0,117290,42,4,No,44,Yes
EMP10102,Female,38,Consulting,Analyst,0.9,145787,47,3,No,62,Yes
EMP10103,Female,24,Audit,Analyst,2.0,139427,57,2,No,28,Yes
EMP10104,Female,38,Advisory,Manager,0.2,173063,54,3,No,24,Yes
EMP10105,Female,25,Audit,Analyst,2.9,178625,56,2,Yes,9,No
EMP10106,Female,36,Audit,Senior Analyst,3.3,112493,57,2,Yes,34,Yes
EMP10107,Female,21,Technology,Senior Analyst,1.4,156706,69,3,Yes,54,Yes
EMP10108,Female,41,Tax,Manager,9.3,37771,37,4,Yes,24,Yes
EMP10109,Male,34,Technology,Analyst,6.2,150607,68,5,Yes,44,Yes
EMP10110,Female,35,Consulting,Senior Analyst,3.7,174370,67,4,No,11,Yes
EMP10111,Male,29,Consulting,Senior Manager,3.8,104876,51,3,Yes,3,Yes
EMP10112,Female,35,Audit,Senior Analyst,0.9,84648,53,3,No,66,Yes
EMP10113,Female,37,Audit,Senior Analyst,3.2,100783,64,3,No,16,Yes
EMP10114,Male,44,Tax,Senior Analyst,0.7,69440,57,4,No,72,Yes
EMP10115,Female,24,Consulting,Senior Analyst,0.5,56655,49,5,No,64,No
EMP10116,Male,32,Tax,Senior Analyst,22.6,68039,48,2,No,52,No
EMP10117,Female,25,Tax,Analyst,2.9,80255,36,1,No,56,Yes
EMP10118,Female,25,Audit,Analyst,1.7,97219,52,4,No,27,No
EMP10119,Male,31,Consulting,Manager,1.0,36244,40,4,No,15,Yes
EMP10120,Female,26,Advisory,Analyst,2.8,119594,66,4,No,20,No
EMP10121,Male,27,Audit,Senior Analyst,0.2,83595,55,4,Yes,76,Yes
EMP10122,Female,44,Tax,Analyst,0.3,128898,62,5,No,41,Yes
EMP10123,Male,34,Consulting,Senior Analyst,0.1,53371,61,3,No,53,Yes
EMP10124,Male,44,Audit,Analyst,2.1,30914,36,5,No,31,No
EMP10125,Female,31,Advisory,Analyst,2.8,52180,67,5,Yes,37,Yes
EMP10126,Female,33,Technology,Senior Manager,0.2,159760,50,4,No,69,Yes
EMP10127,Male,22,Audit,Manager,3.8,105219,56,3,No,37,Yes
EMP10128,Female,27,Tax,Senior Analyst,0.8,103616,47,2,Yes,53,Yes
